filename,title,date,url,digest
2010-08-16-623b0,Remarks at Faulconbridge Public School,2010-08-16,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7611/Remarks-at-Faulconbridge-Public-School.aspx,623b04f0543a5363545ab3456fbbce999cd05859
2012-06-01-b3cb4,"Remarks to Westbourne Grammar School Assembly, Truganina, Melbourne",2012-06-01,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8739/Remarks-to-Westbourne-Grammar-School-Assembly-Truganina-Melbourne.aspx,b3cb4f468edf7490043407f9a7b601932dcc0574
1999-07-13-ee720,WORK FOR THE DOLE ROUND THREE LAUNCH,1999-07-13,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3693/WORK-FOR-THE-DOLE-ROUND-THREE-LAUNCH.aspx,ee7200712a89f566d857246f7336e7e8ff5ecd0a
2007-05-15-594bd,SPEECH NOTES FOR CEDA LUNCH,2007-05-15,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/5643/SPEECH-NOTES-FOR-CEDA-LUNCH.aspx,594bdc19a5dcc6f1e6a97ec3912011a21a0d0d01
2011-06-08-28f7a,"Address to The Lowy Institute, Sydney",2011-06-08,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8123/Address-to-The-Lowy-Institute-Sydney.aspx,28f7a61e0e420a0f5a97c2d385869556732478b8
2002-03-23-859ce,SPEECH TO THE HR NICHOLLS SOCIETY IN MELBOURNE - LOSING THE LEGISLATION FIXATION,2002-03-23,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3705/SPEECH-TO-THE-HR-NICHOLLS-SOCIETY-IN-MELBOURNE--LOSING-THE-LEGISLATION-FIXATION.aspx,859ce5cb4b75540eda499651f1cc6a74d8a51030
2011-10-01-fb090,"Address to the 2011 AFL Grand Final Breakfast, Etihad Stadium, Melbourne",2011-10-01,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8362/Address-to-the-2011-AFL-Grand-Final-Breakfast-Etihad-Stadium-Melbourne.aspx,fb0903e36521e33c4e82a83e2fba0c3f74a657ac
2011-12-01-2e20d,"Address to the New South Wales Business Chamber Lunch, Sydney",2011-12-01,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8484/Address-to-the-New-South-Wales-Business-Chamber-Lunch-Sydney.aspx,2e20d292ab4a013bd0fe0ac46701d510fd608def
2010-08-16-697da,"Remarks at Williamson Tool & Engineering, Chipping Norton NSW",2010-08-16,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7619/Remarks-at-Williamson-Tool-Engineering-Chipping-Norton-NSW.aspx,697da962f82836befbe3c5b5a93da57ee7940a97
2011-09-22-a8bf8,"Second Reading Speech, Migration Legislation Amendment (Offshore Processing and Other Measures) Bill 2011, Parliament House",2011-09-22,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8344/Second-Reading-Speech-Migration-Legislation-Amendment-Offshore-Processing-and-Other-Measures-Bill-2011-Parliament-House.aspx,a8bf84d0db8221774bf2c25d32ccc9a37c3d874d
2004-02-24-d06e1,THE AUSTRALIAN FINANCIAL REVIEW CONFERENCES - 6th ANNUAL HEALTH CONGRESS 2004,2004-02-24,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3548/THE-AUSTRALIAN-FINANCIAL-REVIEW-CONFERENCES--6th-ANNUAL-HEALTH-CONGRESS-2004.aspx,d06e140ec6999a87fc0fc7bbe9281a6491921c68
2001-01-06-e3670,SPEECH NOTES FOR YOUNG LIBERAL FEDERAL CONFERENCE - BEYOND IDEOLOGY,2001-01-06,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3681/SPEECH-NOTES-FOR-YOUNG-LIBERAL-FEDERAL-CONFERENCE--BEYOND-IDEOLOGY.aspx,e3670c8437bfbcefa35a5756cb50f004bab0b218
2011-02-21-2bf6e,"Address to the New South Wales Liberal Campaign Launch, Penrith",2011-02-21,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7858/Address-to-the-New-South-Wales-Liberal-Campaign-Launch-Penrith.aspx,2bf6e46ec86b34cc6dc7adc12e1ce480dfb4a411
2000-04-07-2c571,LAUNCH OF THE GREATER BRISBANE AREA CONSULTATIVE COMMITTEE,2000-04-07,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3672/LAUNCH-OF-THE-GREATER-BRISBANE-AREA-CONSULTATIVE-COMMITTEE.aspx,2c5717d5fc208c76966bdb82c07490593936722d
2012-02-15-bef44,"Statement on Closing the Gap, House of Representatives, Parliament House",2012-02-15,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8570/Statement-on-Closing-the-Gap-House-of-Representatives-Parliament-House.aspx,bef44a2ab863f06639cbbf056729ed2fdbf59267
2011-10-21-6fb8f,"Address to a Reception for Her Majesty Queen Elizabeth II, Parliament House",2011-10-21,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8406/Address-to-a-Reception-for-Her-Majesty-Queen-Elizabeth-II-Parliament-House.aspx,6fb8f23b2cb4a52294570829d8c49f991ccff3d4
2007-03-07-be709,SPEECH NOTES FOR NATIONAL RURAL HEALTH ALLIANCE CONFERENCE,2007-03-07,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/5640/SPEECH-NOTES-FOR-NATIONAL-RURAL-HEALTH-ALLIANCE-CONFERENCE.aspx,be709e921ea7f83aaed83d5907f511d670bbc437
2011-02-11-182d1,"Opening Speech to the Menzies Research Centre Forum, Parliament House",2011-02-11,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7842/Opening-Speech-to-the-Menzies-Research-Centre-Forum-Parliament-House.aspx,182d180a3752ac69d946ca3d45638c7ed7aafd97
2010-10-21-62423,Parliamentary Debate - Australian Industry,2010-10-21,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7699/Parliamentary-Debate--Australian-Industry.aspx,624230003c8e9265f85e6446abe1e05fa0e40e29
2012-06-21-2272b,"Remarks at the Announcement of the 2012 Australian Olympic Women's Artistic Gymnastics Team, AIS, Canberra",2012-06-21,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8761/Remarks-at-the-Announcement-of-the-2012-Australian-Olympic-Womens-Artistic-Gymnastics-Team-AIS-Canberra.aspx,2272b6fc9409b9ee92933870dcecb12cfc292757
2011-11-24-5db2f,"End of year Valedictory Speech, House of Representatives,  Parliament House",2011-11-24,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8470/End-of-year-Valedictory-Speech-House-of-Representatives-Parliament-House.aspx,5db2f2666ef9432a58a474190403c0264c910994
2003-02-21-52df7,THE PRINCIPLE OF CONVERGENCE,2003-02-21,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3542/THE-PRINCIPLE-OF-CONVERGENCE.aspx,52df748b85bdc7a760f7c5a84ccd334ac00476e2
2000-07-19-487b5,"SOCIAL BUSINESS, SOCIAL MARKETS, SOCIAL CAPITAL",2000-07-19,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3674/SOCIAL-BUSINESS-SOCIAL-MARKETS-SOCIAL-CAPITAL.aspx,487b5b498921963676f296a302b80c28fdcbcb94
1999-07-05-5bcdd,NOTES FOR SPEECH TO FORUM OF COMMONWEALTH AGENCIES - PARTNERSHIPS IN GOVERNMENT,1999-07-05,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3690/NOTES-FOR-SPEECH-TO-FORUM-OF-COMMONWEALTH-AGENCIES--PARTNERSHIPS-IN-GOVERNMENT.aspx,5bcddb5dc60cb3f9bb029db41aa73c72a3d1a1af
2007-01-30-b3fb7,"LAUNCH OF BA SANTAMARIA COLLECTION OF LETTERS ‘YOUR MOST OBEDIENT SERVANT, SELECTED LETTERS 1938-19",2007-01-30,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/5637/LAUNCH-OF-BA-SANTAMARIA-COLLECTION-OF-LETTERS-YOUR-MOST-OBEDIENT-SERVANT-SELECTED-LETTERS-1938-19.aspx,b3fb7840e9a1b49dfeb810293cdd461395c153fe
2002-01-04-f3b40,YOUNG LIBERAL FEDERAL CONVENTION - FEELING BETTER ABOUT AUSTRALIA,2002-01-04,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3678/YOUNG-LIBERAL-FEDERAL-CONVENTION--FEELING-BETTER-ABOUT-AUSTRALIA.aspx,f3b407b5b406fe032b5abf251f6ebfe230328f93
2006-09-20-fbcba,SPEECH TO THE CENTRE FOR INDEPENDENT STUDIES POLICY MAKERS FORUM,2006-09-20,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/4224/SPEECH-TO-THE-CENTRE-FOR-INDEPENDENT-STUDIES-POLICY-MAKERS-FORUM.aspx,fbcba73e6ee0329249007763c5692a7ae7c29884
2003-11-06-13553,MATTERS OF PUBLIC IMPORTANCE: MEDICARE - BULK BILLING,2003-11-06,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3545/MATTERS-OF-PUBLIC-IMPORTANCE-MEDICARE--BULK-BILLING.aspx,13553832b5086d998a87e20f610246da7b772479
2012-08-12-3ef10,"Remarks at the Conclusion of the CEO Bricks and Mortar Working Bee, Aurukun, Queensland",2012-08-12,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8839/Remarks-at-the-Conclusion-of-the-CEO-Bricks-and-Mortar-Working-Bee-Aurukun-Queensland.aspx,3ef10a08a5c411bd2d102d7661aa1323cfd12f27
2006-09-15-8bedc,DOORSTOP INTERVIEW - MELBOURNE,2006-09-15,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/4190/DOORSTOP-INTERVIEW--MELBOURNE.aspx,8bedce6dad91a072b96974902cfd0a62df6a5afa
2003-04-02-0eb50,RESTORING THE RULE OF LAW IN THE CONSTRUCTION INDUSTRY,2003-04-02,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3558/RESTORING-THE-RULE-OF-LAW-IN-THE-CONSTRUCTION-INDUSTRY.aspx,0eb50d91111b66b9f840cb0e7859194a6a22d13a
2003-11-03-dae84,BULK BILLING WAS NEVER FOR EVERYONE,2003-11-03,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3556/BULK-BILLING-WAS-NEVER-FOR-EVERYONE.aspx,dae849487d6f261e0a530777e7dac30f58e35644
1994-05-31-fdb85,"THE HON TONY ABBOTT MHR, MEMBER FOR WARRINGAH (NSW) - FIRST SPEECH TO PARLIAMENT",1994-05-31,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3677/THE-HON-TONY-ABBOTT-MHR-MEMBER-FOR-WARRINGAH-NSW--FIRST-SPEECH-TO-PARLIAMENT.aspx,fdb856c6955aba111256633905c9f10b1a6e554f
2010-08-11-040ef,"Remarks at Yaama Dhiyaan Indigenous Hospitality Training Centre, Sydney",2010-08-11,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7587/Remarks-at-Yaama-Dhiyaan-Indigenous-Hospitality-Training-Centre-Sydney.aspx,040efa52edfad7eca87b5cd6f55995860bde35bb
2001-03-20-83c18,AGAINST ROONISM – COMBATTING THE CULTURE OF DESPAIR,2001-03-20,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3717/AGAINST-ROONISM-COMBATTING-THE-CULTURE-OF-DESPAIR.aspx,83c1891ea829aabe6cd05d97cc4a4c3b1e12c24b
2011-09-17-80641,"Remarks at Welcome Home for Xstrata Cycle for SMILE Team, Sydney",2011-09-17,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8330/Remarks-at-Welcome-Home-for-Xstrata-Cycle-for-SMILE-Team-Sydney.aspx,8064193d603248bc0d932a9082db50782b2b4879
2010-10-28-8509c,Alfred Deakin Lecture 2010,2010-10-28,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7701/Alfred-Deakin-Lecture-2010.aspx,8509cce2c755c13e084070cc8cbfc678c9b3529d
2001-08-16-d8fa1,A PREFERENCE FOR FREEDOM,2001-08-16,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3683/A-PREFERENCE-FOR-FREEDOM.aspx,d8fa1e1bc376e73afad01207828d036015c6c58d
2009-11-06-e7469,"""CLOSING THE GAP""",2009-11-06,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7148/CLOSING-THE-GAP.aspx,e7469b93647c32d9c13f6e71ace5a5b87b254b04
